,service_name,first_person_in_charge,index_date,monitor_rule_description,index_type,index_name,aviator_expression,aviator_values,cat_view_url,duration_days
0,open-service,chenyutao,2021-06-16,dubbo接口响应时间监控,PigeonService,ChatRoomService.removeChatRoom,avg>100 || line99Value>150 || line999Value>200,"[""avg=129.7916"",""line99Value=305.8295"",""line999Value=305.8295""]",https://cat.yupaopao.com/cat/r/t?domain=open-service&date=20210616&ip=All&type=PigeonService&reportType=day&op=history,2
1,open-service,chenyutao,2021-06-16,dubbo接口响应时间监控,PigeonService,OpenUserLogService.getRecentVisitEdClientList,avg>100 || line99Value>150 || line999Value>200,"[""avg=4.057"",""line99Value=75.3559"",""line999Value=352.0233""]",https://cat.yupaopao.com/cat/r/t?domain=open-service&date=20210616&ip=All&type=PigeonService&reportType=day&op=history,2
2,open-service,chenyutao,2021-06-16,dubbo接口响应时间监控,PigeonService,ChatRoomService.createChatRoom,avg>100 || line99Value>150 || line999Value>200,"[""avg=163.3021"",""line99Value=270.8529"",""line999Value=270.8529""]",https://cat.yupaopao.com/cat/r/t?domain=open-service&date=20210616&ip=All&type=PigeonService&reportType=day&op=history,2
3,open-service,chenyutao,2021-06-16,数据库执行平均超过30ms,SQL,ActiveUserDataDOMapper.selectByTypeAndTime,avg>30,"[""totalCount=24"",""avg=334.0417""]",https://cat.yupaopao.com/cat/r/t?domain=open-service&date=20210616&ip=All&type=SQL&reportType=day&op=history,1
4,open-web,chenyutao,2021-06-16,web接口响应时间监控,URL,/v1/voiceRoom/remove,avg>100 || line99Value>150 || line999Value>200,"[""avg=136.6429"",""line99Value=309.1625"",""line999Value=309.1625""]",https://cat.yupaopao.com/cat/r/t?domain=open-web&date=20210616&ip=All&type=URL&reportType=day&op=history,2
5,open-web,chenyutao,2021-06-16,web接口响应时间监控,URL,/builtIn/sendImGameInvite,avg>100 || line99Value>150 || line999Value>200,"[""avg=162.6475"",""line99Value=256.1888"",""line999Value=286.2577""]",https://cat.yupaopao.com/cat/r/t?domain=open-web&date=20210616&ip=All&type=URL&reportType=day&op=history,2
6,open-web,chenyutao,2021-06-16,web接口响应时间监控,URL,/v1/voice/room/remove,avg>100 || line99Value>150 || line999Value>200,"[""avg=50.6619"",""line99Value=274.8286"",""line999Value=357.4245""]",https://cat.yupaopao.com/cat/r/t?domain=open-web&date=20210616&ip=All&type=URL&reportType=day&op=history,2
7,open-web,chenyutao,2021-06-16,web接口响应时间监控,URL,/v1/voiceRoom/create,avg>100 || line99Value>150 || line999Value>200,"[""avg=172.6877"",""line99Value=282.8465"",""line999Value=282.8465""]",https://cat.yupaopao.com/cat/r/t?domain=open-web&date=20210616&ip=All&type=URL&reportType=day&op=history,2
8,open-web,chenyutao,2021-06-16,web接口响应时间监控,URL,/builtIn/giveGift,avg>100 || line99Value>150 || line999Value>200,"[""avg=109.5"",""line99Value=107.5"",""line999Value=107.5""]",https://cat.yupaopao.com/cat/r/t?domain=open-web&date=20210616&ip=All&type=URL&reportType=day&op=history,1
9,open-web,chenyutao,2021-06-16,web接口响应时间监控,URL,/v1/voice/room/create,avg>100 || line99Value>150 || line999Value>200,"[""avg=95.7506"",""line99Value=187.3239"",""line999Value=309.5058""]",https://cat.yupaopao.com/cat/r/t?domain=open-web&date=20210616&ip=All&type=URL&reportType=day&op=history,2
10,open-web,chenyutao,2021-06-16,异常数,error,com.yupaopao.platform.open.util.SonaPermissionException,count>0,"[""count=575""]",https://cat.yupaopao.com/cat/r/p?domain=open-web&ip=All&date=20210616&reportType=day&op=history,14
11,open-web,chenyutao,2021-06-16,异常数,error,com.yupaopao.platform.open.util.RiskException,count>0,"[""count=30""]",https://cat.yupaopao.com/cat/r/p?domain=open-web&ip=All&date=20210616&reportType=day&op=history,14
12,open-web,chenyutao,2021-06-16,异常数,error,org.springframework.security.oauth2.common.exceptions.InvalidClientException,count>0,"[""count=3""]",https://cat.yupaopao.com/cat/r/p?domain=open-web&ip=All&date=20210616&reportType=day&op=history,3
13,open-web,chenyutao,2021-06-16,异常数,error,java.lang.NullPointerException,count>0,"[""count=27""]",https://cat.yupaopao.com/cat/r/p?domain=open-web&ip=All&date=20210616&reportType=day&op=history,14
14,bxgame-aoyou-game-web,yuruyi,2021-06-16,异常数,error,com.immomo.common.socket.exception.SessionParameterException,count>0,"[""count=18""]",https://cat.yupaopao.com/cat/r/p?domain=bxgame-aoyou-game-web&ip=All&date=20210616&reportType=day&op=history,14
